CDM project reference number,Completion Date,Status,Total,HostParty,Issuance process ID,tots
3181,2023-08-21,Cancelled,1608,IN,COMBINEDCANCELLED-3181,1607
3222,2021-05-25,Cancelled,86888,BR,COMBINEDCANCELLED-3222,86887
3223,2023-08-07,Cancelled,495000,IN,COMBINEDCANCELLED-3223,494999
3224,2019-12-10,Cancelled,50793,CO,COMBINEDCANCELLED-3224,50907
3232,2018-04-10,Cancelled,32909,IN,COMBINEDCANCELLED-3232,32908
3238,2021-08-26,Cancelled,109370,IN,COMBINEDCANCELLED-3238,66944548
3246,2023-05-26,Cancelled,23747,KR,COMBINEDCANCELLED-3246,95260710
3248,2019-01-03,Cancelled,568,IN,COMBINEDCANCELLED-3248,567
3296,2022-08-16,Cancelled,10875,KR,COMBINEDCANCELLED-3296,10874
3298,2023-06-21,Cancelled,45146,IN,COMBINEDCANCELLED-3298,126757602
3303,2019-01-25,Cancelled,57419,CN,COMBINEDCANCELLED-3303,57418
3306,2023-05-26,Cancelled,151050,CN,COMBINEDCANCELLED-3306,102583235
3307,2023-02-27,Cancelled,701366,CN,COMBINEDCANCELLED-3307,299290553
3309,2023-08-29,Cancelled,14119,CN,COMBINEDCANCELLED-3309,14118
3333,2018-01-10,Cancelled,1172631,KR,COMBINEDCANCELLED-3333,71806650
3335,2019-02-14,Cancelled,34264,TH,COMBINEDCANCELLED-3335,46890
3347,2018-10-23,Cancelled,65911,CO,COMBINEDCANCELLED-3347,110415
3374,2021-04-02,Cancelled,90,CN,COMBINEDCANCELLED-3374,89
3378,2022-09-22,Cancelled,69187,MX,COMBINEDCANCELLED-3378,3665563
3384,2017-12-08,Cancelled,6164,KR,COMBINEDCANCELLED-3384,6163
3389,2018-04-16,Cancelled,40729,VN,COMBINEDCANCELLED-3389,40728
3399,2016-11-30,Cancelled,57357,CN,COMBINEDCANCELLED-3399,57356
3404,2019-09-03,Cancelled,1569,RW,COMBINEDCANCELLED-3404,526395
3440,2017-04-20,Cancelled,301709,KR,COMBINEDCANCELLED-3440,301708
3442,2023-03-10,Cancelled,383119,VN,COMBINEDCANCELLED-3442,20899363
3453,2019-03-12,Cancelled,123497,CN,COMBINEDCANCELLED-3453,105932409
3455,2021-05-25,Cancelled,116031,BR,COMBINEDCANCELLED-3455,116030
3461,2022-10-17,Cancelled,945076,CO,COMBINEDCANCELLED-3461,11163486
3464,2021-06-24,Cancelled,368791,BR,COMBINEDCANCELLED-3464,375344
3469,2023-08-07,Cancelled,45381,CN,COMBINEDCANCELLED-3469,45380
