HostParty,CDM project reference number,Issuance process ID,Issuance date,Monitoring report started,Monitoring report ended
BR,9077,ESPL1649222976.3,7/11/22,2014-01-01,2020-12-31
BR,9069,ESPL1650472150.79,7/11/22,2014-01-01,2020-12-31
IN,10017,Applus1613067450.17,3/11/22,2014-01-09,2020-12-31
IN,5486,Applus1629116195.24,3/11/22,2016-01-01,2020-12-31
IN,9699,Applus1635872016.25,3/11/22,2013-08-20,2019-12-31
IN,1600,Applus1643705917.45,3/11/22,2014-02-07,2018-10-12
CN,5657,Applus1652435479.25,3/11/22,2016-01-01,2020-12-31
CN,5238,Applus1652439738.87,3/11/22,2016-01-03,2020-12-31
CN,6229,Applus1652439797.45,3/11/22,2016-01-03,2018-12-31
CN,3937,Applus1652791300.49,3/11/22,2013-01-03,2020-12-31
CN,9746,CTI1650350108.9,3/11/22,2014-01-01,2020-12-31
IN,6160,ESPL1645357569.1,3/11/22,2019-01-01,2020-12-31
IN,9507,poaiss565977235~IN,2/11/22,2020-02-28,2020-12-31
CO,2630,ESPL1596788514.66,2/11/22,2010-02-26,2012-12-31
CO,2630,ESPL1596788514.66,2/11/22,2013-01-01,2020-02-25
KR,851,KTRCert1634099896.22,2/11/22,2020-08-19,2020-12-31
IN,836,Applus1630246927.59,27/10/22,2014-01-01,2017-03-29
CN,3838,CCSC_DOE1648518795.04,27/10/22,2013-01-01,2017-12-31
CN,8117,CCSC_DOE1650545251.99,27/10/22,2015-08-25,2020-10-30
CN,8115,CCSC_DOE1650546723.01,27/10/22,2015-08-25,2020-10-30
CN,7495,CCSC_DOE1652417004.38,27/10/22,2015-08-25,2020-07-23
BR,1134,EPIC_Sust1617293920.03,27/10/22,2015-12-02,2016-06-30
IN,9111,ESPL1629456530.78,27/10/22,2018-01-12,2020-12-31
IN,244,KBS_Cert1644293068.21,27/10/22,2019-01-09,2020-12-31
IN,3033,KBS_Cert1652085333.17,27/10/22,2019-01-01,2020-12-31
BR,4936,RINA1645547225.1,27/10/22,2014-01-01,2019-07-24
GT,1834,RWTUV1608022370.81,27/10/22,2017-06-24,2020-11-30
CN,1994,TUEV-SUED1637225193.39,27/10/22,2013-01-01,2015-07-11
CN,1994,TUEV-SUED1637927280.68,27/10/22,2015-08-11,2020-12-31
BR,480,ESPL1648200864.81,21/10/22,2013-01-01,2019-09-15
BR,480,ESPL1648200864.81,21/10/22,2012-09-16,2012-12-31
