CDM project reference number,HostParty,Issuance process ID,Issuance date,Status,Total,Vintage Year
726,IN,DNV-CUK1235971264.39,24/2/10,Held," 38,200 ",2008
1027,ZA,ERM-CVS1250242208.09,24/2/10,Held," 112,292 ",2008
823,CN,RWTUV1246535757.96,24/2/10,Held," 107,959 ",2009
336,BR,DNV-CUK1240172783.18,23/2/10,Held," 44,641 ",2008
991,IN,DNV-CUK1251204069.59,23/2/10,Held," 556,217 ",2008
708,PE,TUEV-SUED1208261020.25,23/2/10,Held," 83,419 ",2007
462,MX,DNV-CUK1193033187.19,22/2/10,Held," 8,671 ",2006
417,BR,DNV-CUK1242451354.39,22/2/10,Held," 20,250 ",2008
1491,BR,RINA1228992544.67,22/2/10,Held," 14,490 ",2008
868,CN,TUEV-SUED1248784914.21,22/2/10,Held," 1,288,861 ",2009
922,KR,DNV-CUK1235360968.05,19/2/10,Held," 239,431 ",2008
419,BR,DNV-CUK1242679833.75,19/2/10,Held," 34,847 ",2008
697,IN,DNV-CUK1246963603.53,19/2/10,Held," 36,005 ",2007
695,CN,DNV-CUK1252562047.22,19/2/10,Held," 17,225 ",2008
53,MX,DNV-CUK1193033016.77,18/2/10,Held," 20,375 ",2006
725,IN,DNV-CUK1235970857.83,18/2/10,Held," 35,918 ",2008
337,BR,DNV-CUK1240172868.79,18/2/10,Held," 41,635 ",2008
412,BR,DNV-CUK1242451707.42,18/2/10,Held," 22,150 ",2008
1287,IN,RWTUV1245319702.68,18/2/10,Held," 39,980 ",2008
1289,IN,SGS-UKL1244215002.21,18/2/10,Held," 37,989 ",2008
1338,CN,TUEV-SUED1224264512.36,18/2/10,Held," 12,344 ",2008
695,CN,DNV-CUK1223282986.26,17/2/10,Held," 15,529 ",2007
1229,CL,TUEV-SUED1240832030.77,17/2/10,Held," 203,777 ",2009
1855,CN,TUEV-SUED1246372390.07,17/2/10,Held," 86,159 ",2008
1,IN,DNV-CUK1253104651.59,16/2/10,Held," 1,680,097 ",2009
116,BR,TUEV-SUED1255794030.21,16/2/10,Held," 402,884 ",2009
57,MX,DNV-CUK1221741248.87,12/2/10,Held," 4,227 ",2006
594,CN,DNV-CUK1249464898.49,11/2/10,Held," 12,257 ",2008
1320,CN,DNV-CUK1255078549.05,11/2/10,Held," 365,479 ",2009
728,MX,RWTUV1249479586.08,11/2/10,Held," 9,196 ",2009
1536,CN,TUEV-SUED1219680527.14,11/2/10,Held," 16,872 ",2008
887,CN,DNV-CUK1235728929.22,10/2/10,Held," 107,570 ",2008
1609,CN,DNV-CUK1253010255.0,10/2/10,Held," 743,502 ",2009
1613,CN,TUEV-SUED1243420968.54,10/2/10,Held," 13,459 ",2008
2172,CN,BVQI1252564417.38,5/2/10,Held," 48,673 ",2008
1467,CN,RWTUV1253262350.95,4/2/10,Held," 152,358 ",2008
1229,CL,TUEV-SUED1232108088.28,4/2/10,Held," 204,770 ",2008
299,CN,TUEV-SUED1239098561.85,4/2/10,Held," 116,438 ",2007
1501,CN,TUEV-SUED1249650093.84,4/2/10,Held," 61,944 ",2008
1073,PE,SGS-UKL1240844722.58,3/2/10,Held," 14,715 ",2008
492,HN,TUEV-SUED1236690875.85,3/2/10,Held," 25,011 ",2008
735,CO,ICONTEC1245070697.3,1/2/10,Held," 50,840 ",2008
1517,CN,RWTUV1246426544.2,1/2/10,Held," 80,414 ",2008
1507,CN,RWTUV1246437940.11,1/2/10,Held," 29,406 ",2008
99,KR,TUEV-SUED1256042659.19,1/2/10,Held," 659,410 ",2009
1474,CN,RWTUV1253266434.57,28/1/10,Held," 110,284 ",2008
791,CN,TUEV-SUED1243258626.98,28/1/10,Held," 107,520 ",2008
233,CN,TUEV-SUED1246374139.51,28/1/10,Held," 109,846 ",2008
892,CN,DNV-CUK1236140397.83,27/1/10,Held," 302,007 ",2008
855,IN,DNV-CUK1247805419.92,27/1/10,Held," 29,154 ",2008
1373,CN,RWTUV1226651308.5,27/1/10,Held," 290,902 ",2008
1380,CN,RWTUV1244552217.5,27/1/10,Held," 44,272 ",2008
