PA/PoA,CDM project reference number,HostParty,DOE,Project type (UNEP DTU),Project subtype (UNEP DTU),Issuance process ID,Issuance date,Monitoring report started,Monitoring report ended, Units - Total ,CP,Monitoring report number,Last_updated
PA,4251,IN,LGAI,Wind,Wind,Applus1649354129.25,23/3/23,1/1/13,31/12/20," 63,293 ",2,1,21Jun2023
PA,4537,VN,BVCH,Hydro,New dam,BVQI1647502727.99,23/3/23,31/8/18,31/12/20," 1,371,906 ",2,5,21Jun2023
PA,8074,CN,CCCI,Wind,Wind,CCCI_DOE1664619747.59,23/3/23,1/1/18,30/12/20," 755,857 ",2,2,21Jun2023
PA,4330,CN,CTI,Wind,Wind,CTI1632894204.65,23/3/23,27/1/18,31/12/20," 41,511 ",2,3,21Jun2023
PA,6758,CN,CTI,Wind,Wind,CTI1656570893.86,23/3/23,1/1/18,28/7/20," 566,039 ",2,2,21Jun2023
PA,3248,IN,Carbon Check,Landfill gas,Landfill composting,CarbonCheck_Cert1603446900.55,23/3/23,1/1/20,26/6/20," 49,533 ",2,11,21Jun2023
PA,4551,VN,TUV SUD,Hydro,New dam,TUEV-SUED1659181231.11,23/3/23,1/1/20,31/12/20," 108,109 ",2,5,21Jun2023
PA,8026,CN,CTI,Wind,Wind,CTI1656571607.76,21/3/23,1/11/13,31/10/20," 499,197 ",2,1,21Jun2023
PA,5821,IN,Earthood,Wind,Wind,ESPL1663331440.29,21/3/23,1/1/13,31/12/16," 40,964 ",2,2,21Jun2023
PA,2533,CN,TUV SUD,Hydro,Run of river,TUEV-SUED1637224344.28,21/3/23,1/1/13,12/10/17," 120,968 ",2,4,21Jun2023
PoA,9416,IN,TUV SUD,Hybrid renewables,Solar & wind,poaiss128785984~IN,17/3/23,1/3/13,30/9/19," 1,506,781 ",2,1,21Jun2023
PA,6401,IN,KEarth,Biomass Energy,Agricultural residues: other kinds,4KEarth1640788887.99,16/3/23,1/1/13,31/12/20," 539,881 ",2,1,21Jun2023
PA,10187,IN,LGAI,Hydro,Run of river,Applus1537274554.9,16/3/23,19/10/15,30/6/18," 42,726 ",2,1,21Jun2023
PA,3435,CN,LGAI,Hydro,New dam,Applus1659261341.38,16/3/23,26/9/17,31/12/20," 433,342 ",2,3,21Jun2023
PA,6883,IN,BVCH,Solar,Solar PV,BVQI1662639002.62,16/3/23,1/8/12,31/12/12," 3,381 ",1,1,21Jun2023
PA,6883,IN,BVCH,Solar,Solar PV,BVQI1662639002.62,16/3/23,1/1/13,31/7/19," 56,498 ",2,1,21Jun2023
PA,2918,CN,CCCI,Wind,Wind,CCCI_DOE1662691300.15,16/3/23,28/11/17,31/12/20," 1,872,576 ",2,3,21Jun2023
PA,7030,CN,CTI,Wind,Wind,CTI1667189752.08,16/3/23,1/1/18,31/10/19," 327,966 ",2,2,21Jun2023
PA,10009,IN,KBS,EE service,HVAC & lighting,KBS_Cert1650951647.62,16/3/23,1/1/15,31/12/19," 59,343 ",2,1,21Jun2023
